idx,uniqueid,id,maxclass,numinlets,numoutlets,patchx,patchy,parent,abstype,text,displayname
0,obj-4_obj-19_root,obj-4,outlet,1,0,332.0,784.0,obj-19_root,standard,,outlet
1,obj-41_obj-19_root,obj-41,message,2,1,55.0,730.0,obj-19_root,standard,start 69125.53288 69248.526077 122.993197,start 69125.53288 69248.526077 122.993197
2,obj-25_obj-19_root,obj-25,gain~,1,2,508.0,604.0,obj-19_root,standard,,gain~
3,obj-22_obj-19_root,obj-22,button,1,1,291.0,253.0,obj-19_root,standard,,button
4,obj-19_obj-19_root,obj-19,flonum,1,2,291.0,215.200005,obj-19_root,standard,,flonum
5,obj-16_obj-19_root,obj-16,newobj,0,1,291.0,182.0,obj-19_root,standard,r playingint,r playingint
6,obj-23_obj-19_root,obj-23,newobj,1,2,264.5,301.0,obj-19_root,standard,t b b,t b b
7,obj-7_obj-19_root,obj-7,newobj,1,0,287.0,585.0,obj-19_root,standard,s byOrdered2,s byOrdered2
8,obj-14_obj-19_root,obj-14,newobj,0,1,241.0,459.0,obj-19_root,standard,r reorder2,r reorder2
9,obj-9_obj-19_root,obj-9,flonum,1,2,132.0,500.0,obj-19_root,standard,,flonum
10,obj-33_obj-19_root,obj-33,newobj,0,1,223.5,122.799995,obj-19_root,standard,r pulseClick,r pulseClick
11,obj-13_obj-19_root,obj-13,comment,1,0,93.0,318.0,obj-19_root,standard,vary by,vary by
12,obj-12_obj-19_root,obj-12,comment,1,0,93.0,288.0,obj-19_root,standard,start slice,start slice
13,obj-8_obj-19_root,obj-8,comment,1,0,132.0,253.0,obj-19_root,standard,metro,metro
14,obj-3_obj-19_root,obj-3,newobj,1,1,81.0,219.0,obj-19_root,standard,loadmess 100,loadmess 100
15,obj-46_obj-19_root,obj-46,flonum,1,2,81.0,266.0,obj-19_root,standard,,flonum
16,obj-6_obj-19_root,obj-6,newobj,1,1,350.0,262.0,obj-19_root,standard,loadmess 0,loadmess 0
17,obj-1_obj-19_root,obj-1,newobj,1,0,81.0,469.0,obj-19_root,standard,s numSlice,s numSlice
18,obj-21_obj-19_root,obj-21,newobj,0,1,198.0,624.0,obj-19_root,standard,receive bufferName,receive bufferName
19,obj-83_obj-19_root,obj-83,meter~,1,1,315.0,733.0,obj-19_root,standard,,meter~
20,obj-82_obj-19_root,obj-82,newobj,2,1,29.0,450.0,obj-19_root,standard,+,+
21,obj-81_obj-19_root,obj-81,number,1,2,29.0,410.0,obj-19_root,standard,,number
22,obj-11_obj-19_root,obj-11,newobj,2,1,55.0,593.0,obj-19_root,standard,expr $f1 * 1000. / $f2,expr $f1 * 1000. / $f2
23,obj-34_obj-19_root,obj-34,newobj,2,2,223.5,679.0,obj-19_root,standard,sel 0,sel 0
24,obj-44_obj-19_root,obj-44,newobj,1,2,55.0,641.0,obj-19_root,standard,t l l,t l l
25,obj-59_obj-19_root,obj-59,newobj,1,1,154.5,733.0,obj-19_root,standard,prepend start,prepend start
26,obj-64_obj-19_root,obj-64,newobj,2,1,154.5,703.0,obj-19_root,standard,join 2 @triggers 1,join 2 @triggers 1
27,obj-67_obj-19_root,obj-67,newobj,2,1,55.0,666.0,obj-19_root,standard,!- 0.,!- 0.
28,obj-69_obj-19_root,obj-69,newobj,2,2,55.0,617.0,obj-19_root,standard,zl group 2,zl group 2
29,obj-71_obj-19_root,obj-71,newobj,1,2,29.0,514.0,obj-19_root,standard,t i i,t i i
30,obj-73_obj-19_root,obj-73,newobj,2,1,29.0,538.0,obj-19_root,standard,+ 1,+ 1
31,obj-74_obj-19_root,obj-74,newobj,3,1,55.0,569.0,obj-19_root,standard,peek~ segments2,peek~ segments2
32,obj-75_obj-19_root,obj-75,message,2,1,350.0,624.0,obj-19_root,standard,stop,stop
33,obj-76_obj-19_root,obj-76,message,2,1,315.0,624.0,obj-19_root,standard,start,start
34,obj-77_obj-19_root,obj-77,newobj,2,0,508.0,770.0,obj-19_root,standard,dac~,dac~
35,obj-78_obj-19_root,obj-78,newobj,1,3,315.0,674.0,obj-19_root,standard,play~ concatsounds 2,play~ concatsounds 2
36,obj-61_obj-19_root,obj-61,number,1,2,351.0,301.0,obj-19_root,standard,,number
37,obj-57_obj-19_root,obj-57,newobj,2,1,309.0,358.0,obj-19_root,standard,random 0,random 0
38,obj-5_obj-19_root,obj-5,newobj,0,1,158.0,538.0,obj-19_root,standard,r srcSR,r srcSR
39,obj-49_obj-19_root,obj-49,number,1,2,241.0,514.0,obj-19_root,standard,,number
40,obj-19_root,obj-19,bpatcher,0,1,410.0,256.0,root,bpatcher,,bpatcher
41,obj-17_root,obj-17,newobj,0,1,931.09762125,614.0,root,standard,lh.sliceOrderer,lh.sliceOrderer
42,obj-45_obj-16_root,obj-45,message,2,1,155.0,506.0,obj-16_root,standard,format float32, filetype wave
43,obj-23_obj-16_root,obj-23,newobj,1,1,906.0,147.5,obj-16_root,standard,loadbang,loadbang
44,obj-22_obj-16_root,obj-22,message,2,1,1018.0,187.0,obj-16_root,standard,set improv,set improv
45,obj-21_obj-16_root,obj-21,newobj,1,0,950.0,234.0,obj-16_root,standard,send bufferName,send bufferName
46,obj-16_obj-16_root,obj-16,newobj,1,0,803.0,339.0,obj-16_root,standard,send srcSR,send srcSR
47,obj-18_obj-16_root,obj-18,newobj,1,0,191.0,687.0,obj-16_root,standard,s numSegments,s numSegments
48,obj-40_obj-16_root,obj-40,newobj,2,2,667.5,241.0,obj-16_root,standard,route set,route set
49,obj-19_obj-16_root,obj-19,newobj,1,2,803.0,241.0,obj-16_root,standard,t b s,t b s
50,obj-17_obj-16_root,obj-17,message,2,1,906.0,187.0,obj-16_root,standard,set concatsounds,set concatsounds
51,obj-11_obj-16_root,obj-11,message,2,1,803.0,187.0,obj-16_root,standard,set stacksounds,set stacksounds
52,obj-5_obj-16_root,obj-5,newobj,1,9,803.0,302.5,obj-16_root,standard,info~ src,info~ src
53,obj-39_obj-16_root,obj-39,button,1,1,115.5,506.0,obj-16_root,standard,,button
54,obj-6_obj-16_root,obj-6,attrui,1,1,364.5,411.0,obj-16_root,standard,,attrui
55,obj-7_obj-16_root,obj-7,attrui,1,1,364.5,387.0,obj-16_root,standard,,attrui
56,obj-8_obj-16_root,obj-8,attrui,1,1,364.5,339.0,obj-16_root,standard,,attrui
57,obj-48_obj-16_root,obj-48,attrui,1,1,364.5,315.0,obj-16_root,standard,,attrui
58,obj-38_obj-16_root,obj-38,attrui,1,1,364.5,291.5,obj-16_root,standard,,attrui
59,obj-37_obj-16_root,obj-37,attrui,1,1,364.5,267.0,obj-16_root,standard,,attrui
60,obj-62_obj-16_root,obj-62,attrui,1,1,364.5,243.0,obj-16_root,standard,,attrui
61,obj-10_obj-16_root,obj-10,attrui,1,1,364.5,123.5,obj-16_root,standard,,attrui
62,obj-20_obj-16_root,obj-20,attrui,1,1,364.5,363.0,obj-16_root,standard,,attrui
63,obj-60_obj-16_root,obj-60,attrui,1,1,364.5,100.0,obj-16_root,standard,,attrui
64,obj-12_obj-16_root,obj-12,attrui,1,1,364.5,195.0,obj-16_root,standard,,attrui
65,obj-13_obj-16_root,obj-13,attrui,1,1,364.5,171.5,obj-16_root,standard,,attrui
66,obj-52_obj-16_root,obj-52,attrui,1,1,364.5,76.0,obj-16_root,standard,,attrui
67,obj-14_obj-16_root,obj-14,attrui,1,1,364.5,147.5,obj-16_root,standard,,attrui
68,obj-15_obj-16_root,obj-15,attrui,1,1,364.5,219.0,obj-16_root,standard,,attrui
69,obj-9_obj-16_root,obj-9,message,2,1,158.5,620.0,obj-16_root,standard,0,0
70,obj-42_obj-16_root,obj-42,newobj,1,3,189.5,585.0,obj-16_root,standard,getattr samps,getattr samps
71,obj-41_obj-16_root,obj-41,newobj,1,2,188.5,548.0,obj-16_root,standard,t b b,t b b
72,obj-36_obj-16_root,obj-36,newobj,1,2,115.5,363.0,obj-16_root,standard,t b b,t b b
73,obj-35_obj-16_root,obj-35,button,1,1,115.5,322.0,obj-16_root,standard,,button
74,obj-3_obj-16_root,obj-3,newobj,1,2,221.5,620.0,obj-16_root,standard,buffer~ segments2,buffer~ segments2
75,obj-2_obj-16_root,obj-2,newobj,1,3,115.5,446.0,obj-16_root,standard,fluid.buftransientslice~ @minslicelength 4410 @source src @indices segments2 @blocking 0,fluid.buftransientslice~ @minslicelength 4410 @source src @indices segments2 @blocking 0
76,obj-16_root,obj-16,newobj,0,0,931.09762125,583.5,root,abstraction,lh.bufSlice,lh.bufSlice
77,obj-54_obj-15_root,obj-54,comment,1,0,84.0,119.0,obj-15_root,standard,preload,preload
78,obj-52_obj-15_root,obj-52,newobj,2,1,57.16662600000001,781.0,obj-15_root,standard,gate,gate
79,obj-48_obj-15_root,obj-48,message,2,1,57.16662600000001,701.0,obj-15_root,standard,deststartframe $1,deststartframe $1
80,obj-44_obj-15_root,obj-44,newobj,2,1,57.16662600000001,666.0,obj-15_root,standard,gate,gate
81,obj-42_obj-15_root,obj-42,number,1,2,70.16662600000001,631.0,obj-15_root,standard,,number
82,obj-38_obj-15_root,obj-38,toggle,1,1,21.666626000000008,745.0,obj-15_root,standard,,toggle
83,obj-39_obj-15_root,obj-39,newobj,1,2,57.16662600000001,745.0,obj-15_root,standard,t b s,t b s
84,obj-36_obj-15_root,obj-36,newobj,1,1,574.0,631.0,obj-15_root,standard,append set,append set
85,obj-35_obj-15_root,obj-35,newobj,1,1,574.0,597.0,obj-15_root,standard,deferlow,deferlow
86,obj-34_obj-15_root,obj-34,newobj,1,1,574.0,565.0,obj-15_root,standard,loadmess 0,loadmess 0
87,obj-14_obj-15_root,obj-14,flonum,1,2,710.6666666666666,631.0,obj-15_root,standard,,flonum
88,obj-3_obj-15_root,obj-3,newobj,1,2,680.0,565.0,obj-15_root,standard,t b i,t b i
89,obj-1_obj-15_root,obj-1,newobj,5,4,680.0,601.0,obj-15_root,standard,counter 30,counter 30
90,obj-2_obj-15_root,obj-2,comment,1,0,137.0,51.0,obj-15_root,standard,PREMADE,PREMADE
91,obj-4_obj-15_root,obj-4,message,2,1,623.0,276.0,obj-15_root,standard,replace,replace
92,obj-45_obj-15_root,obj-45,message,2,1,623.0,303.0,obj-15_root,standard,format float32, filetype wave
93,obj-10_obj-15_root,obj-10,newobj,0,1,680.0,527.0,obj-15_root,standard,r occasional,r occasional
94,obj-9_obj-15_root,obj-9,newobj,0,1,652.0,485.0,obj-15_root,standard,r capture,r capture
95,obj-13_obj-15_root,obj-13,button,1,1,340.0,640.0,obj-15_root,standard,,button
96,obj-6_obj-15_root,obj-6,newobj,0,1,373.0,330.0,obj-15_root,standard,r filename,r filename
97,obj-33_obj-15_root,obj-33,comment,1,0,574.0,76.0,obj-15_root,standard,safety gate,safety gate
98,obj-32_obj-15_root,obj-32,comment,1,0,583.0,13.0,obj-15_root,standard,safety gate,safety gate
99,obj-28_obj-15_root,obj-28,comment,1,0,612.0,74.0,obj-15_root,standard,put all sounds sequentially,put all sounds sequentially
100,obj-27_obj-15_root,obj-27,comment,1,0,611.0,34.0,obj-15_root,standard,stack sounds into buffer by selection,stack sounds into buffer by selection
101,obj-22_obj-15_root,obj-22,comment,1,0,602.0,29.0,obj-15_root,standard,chuck in folder of drum samples,chuck in folder of drum samples
102,obj-81_obj-15_root,obj-81,toggle,1,1,193.666626,699.0,obj-15_root,standard,,toggle
103,obj-82_obj-15_root,obj-82,newobj,2,1,193.166626,735.0,obj-15_root,standard,gate,gate
104,obj-83_obj-15_root,obj-83,newobj,1,2,229.166626,700.0,obj-15_root,standard,t b s,t b s
105,obj-74_obj-15_root,obj-74,button,1,1,193.166626,799.0,obj-15_root,standard,,button
106,obj-62_obj-15_root,obj-62,comment,1,0,613.0,362.0,obj-15_root,standard,2 chan,2 chan
107,obj-46_obj-15_root,obj-46,newobj,1,2,457.0,321.0,obj-15_root,standard,t b s,t b s
108,obj-47_obj-15_root,obj-47,message,2,1,457.0,287.0,obj-15_root,standard,clear,clear
109,obj-49_obj-15_root,obj-49,newobj,1,1,457.0,362.0,obj-15_root,standard,loadmess sizeinsamps 1 2,loadmess sizeinsamps 1 2
110,obj-51_obj-15_root,obj-51,newobj,1,2,508.0,459.0,obj-15_root,standard,buffer~ concatsounds cattedSounds.wav,buffer~ concatsounds cattedSounds.wav
111,obj-125_obj-15_root,obj-125,newobj,2,2,193.166626,619.5,obj-15_root,standard,maximum 0,maximum 0
112,obj-126_obj-15_root,obj-126,newobj,2,1,193.166626,585.0,obj-15_root,standard,- 1,- 1
113,obj-127_obj-15_root,obj-127,newobj,1,3,384.0,425.0,obj-15_root,standard,getattr samps,getattr samps
114,obj-64_obj-15_root,obj-64,newobj,1,1,373.0,522.0,obj-15_root,standard,deferlow,deferlow
115,obj-43_obj-15_root,obj-43,message,2,1,193.166626,653.0,obj-15_root,standard,deststartframe $1,deststartframe $1
116,obj-30_obj-15_root,obj-30,newobj,1,3,193.166626,762.5,obj-15_root,standard,fluid.bufcompose~ @source source @destination concatsounds @numchans 2,fluid.bufcompose~ @source source @destination concatsounds @numchans 2
117,obj-24_obj-15_root,obj-24,newobj,1,1,373.0,485.0,obj-15_root,standard,prepend replace,prepend replace
118,obj-5_obj-15_root,obj-5,newobj,1,2,373.0,557.0,obj-15_root,standard,buffer~ source,buffer~ source
119,obj-16_obj-15_root,obj-16,attrui,1,1,230.166626,732.5,obj-15_root,standard,,attrui
124,obj-6_obj-3_obj-9_root,obj-6,message,2,1,244.0,371.0,obj-3_obj-9_root,standard,5519,5519
125,obj-20_obj-3_obj-9_root,obj-20,toggle,1,1,46.0,54.0,obj-3_obj-9_root,standard,,toggle
126,obj-17_obj-3_obj-9_root,obj-17,newobj,1,2,46.0,90.0,obj-3_obj-9_root,standard,t b f,t b f
127,obj-13_obj-3_obj-9_root,obj-13,newobj,2,1,46.0,143.0,obj-3_obj-9_root,standard,gate,gate
128,obj-57_obj-3_obj-9_root,obj-57,button,1,1,677.0,498.905945,obj-3_obj-9_root,standard,,button
129,obj-58_obj-3_obj-9_root,obj-58,newobj,1,2,677.0,470.905945,obj-3_obj-9_root,standard,edge~,edge~
130,obj-59_obj-3_obj-9_root,obj-59,newobj,2,1,677.0,442.905945,obj-3_obj-9_root,standard,<=~ 0.,<=~ 0.
131,obj-60_obj-3_obj-9_root,obj-60,newobj,1,1,677.0,414.905945,obj-3_obj-9_root,standard,delta~,delta~
132,obj-10_obj-3_obj-9_root,obj-10,button,1,1,189.0,413.0,obj-3_obj-9_root,standard,,button
133,obj-7_obj-3_obj-9_root,obj-7,message,2,1,189.0,450.0,obj-3_obj-9_root,standard,0,0
134,obj-124_obj-3_obj-9_root,obj-124,newobj,1,0,115.0,361.0,obj-3_obj-9_root,standard,send filename,send filename
135,obj-104_obj-3_obj-9_root,obj-104,message,2,1,225.0,134.0,obj-3_obj-9_root,standard,drummachinesers,drummachinesers
136,obj-106_obj-3_obj-9_root,obj-106,flonum,1,2,555.0,439.0,obj-3_obj-9_root,standard,,flonum
137,obj-94_obj-3_obj-9_root,obj-94,newobj,1,1,555.0,402.0,obj-3_obj-9_root,standard,loadmess 1,loadmess 1
138,obj-49_obj-3_obj-9_root,obj-49,newobj,1,2,30.0,439.0,obj-3_obj-9_root,standard,buffer~ sampler2 5000 2,buffer~ sampler2 5000 2
139,obj-48_obj-3_obj-9_root,obj-48,newobj,2,1,483.0,567.5,obj-3_obj-9_root,standard,*~,*~
140,obj-27_obj-3_obj-9_root,obj-27,newobj,2,1,434.0,567.5,obj-3_obj-9_root,standard,*~,*~
141,obj-11_obj-3_obj-9_root,obj-11,newobj,3,3,434.0,527.0,obj-3_obj-9_root,standard,groove~ sampler2 2,groove~ sampler2 2
142,obj-46_obj-3_obj-9_root,obj-46,comment,1,0,438.0,219.0,obj-3_obj-9_root,standard,Change to directory of sample folders.,Change to directory of sample folders.
143,obj-24_obj-3_obj-9_root,obj-24,newobj,1,0,484.5,627.0,obj-3_obj-9_root,standard,send~ gameB,send~ gameB
144,obj-15_obj-3_obj-9_root,obj-15,newobj,1,0,434.0,653.0,obj-3_obj-9_root,standard,send~ gameA,send~ gameA
145,obj-3_obj-3_obj-9_root,obj-3,newobj,1,1,317.0,373.0,obj-3_obj-9_root,standard,loadmess 0,loadmess 0
146,obj-47_obj-3_obj-9_root,obj-47,toggle,1,1,317.0,402.0,obj-3_obj-9_root,standard,,toggle
147,obj-45_obj-3_obj-9_root,obj-45,message,2,1,317.0,426.0,obj-3_obj-9_root,standard,loop $1,loop $1
148,obj-29_obj-3_obj-9_root,obj-29,newobj,1,1,434.0,487.0,obj-3_obj-9_root,standard,sig~ 1,sig~ 1
149,obj-12_obj-3_obj-9_root,obj-12,newobj,1,1,30.0,391.0,obj-3_obj-9_root,standard,prepend replace,prepend replace
150,obj-9_obj-3_obj-9_root,obj-9,button,1,1,46.0,188.0,obj-3_obj-9_root,standard,,button
151,obj-2_obj-3_obj-9_root,obj-2,newobj,2,1,46.0,230.0,obj-3_obj-9_root,standard,random 86,random 86
152,obj-1_obj-3_obj-9_root,obj-1,newobj,2,2,186.0,324.0,obj-3_obj-9_root,standard,route populate,route populate
153,obj-4_obj-3_obj-9_root,obj-4,newobj,1,1,225.0,106.0,obj-3_obj-9_root,standard,loadbang,loadbang
154,obj-86_obj-3_obj-9_root,obj-86,newobj,1,1,225.0,258.0,obj-3_obj-9_root,standard,prepend prefix,prepend prefix
155,obj-89_obj-3_obj-9_root,obj-89,newobj,1,1,225.0,195.0,obj-3_obj-9_root,standard,sprintf "Macintosh HD:/Users/laurenhayes/Documents/MaxMSP/samples/%s",sprintf "Macintosh HD:/Users/laurenhayes/Documents/MaxMSP/samples/%s"
156,obj-90_obj-3_obj-9_root,obj-90,newobj,1,1,225.0,227.0,obj-3_obj-9_root,standard,tosymbol,tosymbol
157,obj-91_obj-3_obj-9_root,obj-91,newobj,1,1,225.0,166.0,obj-3_obj-9_root,standard,tosymbol,tosymbol
158,obj-84_obj-3_obj-9_root,obj-84,newobj,1,1,332.0,234.0,obj-3_obj-9_root,standard,loadbang,loadbang
159,obj-85_obj-3_obj-9_root,obj-85,message,2,1,332.0,258.0,obj-3_obj-9_root,standard,clear, autopopulate 1
160,obj-87_obj-3_obj-9_root,obj-87,umenu,1,3,46.0,298.0,obj-3_obj-9_root,standard,,umenu
161,obj-3_obj-9_root,obj-3,newobj,0,0,614.0,108.0,obj-9_root,abstraction,lh.audition,lh.audition
162,obj-62_obj-9_root,obj-62,comment,1,0,652.0,19.799995183944702,obj-9_root,standard,load pretrained filters,load pretrained filters
163,obj-60_obj-9_root,obj-60,comment,1,0,739.5,37.0,obj-9_root,standard,doubleclick to delete,doubleclick to delete
164,obj-56_obj-9_root,obj-56,newobj,2,1,394.0,694.0,obj-9_root,standard,if $i1==1 && $f2==0 then 1 else 0,if $i1==1 && $f2==0 then 1 else 0
165,obj-55_obj-9_root,obj-55,comment,1,0,315.0,282.0,obj-9_root,standard,bangs for match,bangs for match
166,obj-54_obj-9_root,obj-54,comment,1,0,315.0,256.0,obj-9_root,standard,7. adjust matching thresh,7. adjust matching thresh
167,obj-53_obj-9_root,obj-53,comment,1,0,213.0,227.7999951839447,obj-9_root,standard,observe value,observe value
168,obj-52_obj-9_root,obj-52,comment,1,0,210.8000044822693,164.7999951839447,obj-9_root,standard,5. copy then repeat for cat. 2 & 3,5. copy then repeat for cat. 2 & 3
169,obj-51_obj-9_root,obj-51,comment,1,0,210.8000044822693,124.7999951839447,obj-9_root,standard,4. press pause,4. press pause
170,obj-42_obj-9_root,obj-42,comment,1,0,210.8000044822693,103.7999951839447,obj-9_root,standard,3. press 1 to start playing in examples in first category,3. press 1 to start playing in examples in first category
